main_i,main_j,a_ij,b_ij,c_ij
22,6,1904.4,-2.7981,0.0
22,7,748.2,-1.319,0.0
22,9,-218.94,1.0749,0.0
22,10,354.71,0.0,0.0
22,11,-461.35,1.8569,0.0
22,13,215.3,-2.482,0.00275
22,16,406.8,-1.524,0.0
22,18,946.7893,-4.9886,0.0
22,19,14.76,0.0,0.0
22,20,425.97,0.0,0.0
22,21,-66.21,0.0,0.0
22,23,187.43,-3.446,0.00672
22,24,46.29,-0.2115,0.0
22,25,3353.0,-14.2,0.0
22,26,822.4,-2.05,0.0
22,30,-174.6,0.0,0.0
22,32,132.7,-0.1183,0.0
22,33,-139.6,1.022,0.0
22,35,-178.3,0.7426,0.0
22,37,160.7,0.0,0.0
22,39,-147.6446,0.0,0.0
22,42,10.7,-0.2702,0.0
22,43,108.83,-0.8606,0.0
22,45,7.3664,0.4046,0.0
22,48,102.8047,-0.0879,0.0
23,1,1302.6,-8.427,0.0144
23,2,255.41,0.0,0.0
23,3,-78.116,0.6998,0.0
23,4,-38.939,-0.1938,0.0
23,5,963.37,0.0,0.0
23,6,893.38,0.0,0.0
23,9,-48.641,-0.795,0.00371
23,13,97.128,-0.6439,0.0
23,21,603.29,-3.977,0.00625
23,22,1468.9,-5.0,0.0037
23,24,-323.17,1.1973,0.0
23,33,599.82,0.0,0.0
23,37,325.81,0.0,0.0
24,1,-148.07,1.0927,-0.00242
24,2,-663.45,2.3281,0.0
24,3,-305.5,2.12,-0.00324
24,4,107.8,-0.6785,0.0
24,5,3139.0,-5.964,0.0
24,6,2150.0,-2.813,0.0
24,7,1282.0,-2.815,0.0
24,8,2157.0,-3.718,0.0
24,9,155.73,1.4412,-0.0025
24,11,223.4,0.1237,0.0
24,12,465.8,-0.773,0.0
24,13,641.2,-1.486,0.0
24,14,333.9,-0.1415,0.0
24,15,43.83,0.0,0.0
24,16,-825.9,3.15,0.0
24,17,2626.0,-10.59,0.0147
24,18,-2110.9729,6.3625,0.0
24,19,357.6,0.7676,0.0
24,20,213.34,2.1861,0.0
24,21,95.05,-0.2348,0.0
24,22,46.03,0.0539,0.0
24,23,350.92,-1.3456,0.0
24,25,-131.8,9.802,-0.0358
24,26,441.5,-0.5353,0.0
24,27,3286.0,0.0,0.0
24,28,9.362,1.033,0.0
24,30,750.2,0.8165,0.0
24,32,49.51,0.6829,0.0
24,33,203.2,-1.328,0.0
24,35,325.2,0.4405,0.0
24,36,902.0,0.0,0.0
24,37,220.6,0.3756,0.0
24,38,197.4,-0.4858,0.0
24,39,512.7,0.027,0.0
24,42,-37.183,-0.0478,0.0
24,43,190.45,0.0127,0.0
24,45,22.779,0.0421,0.0
24,52,1366.3114,-3.8385,0.0
25,1,3264.0,-20.84,0.0332
25,2,215.5,-1.519,0.0
25,3,1885.0,-10.98,0.0166
25,4,-69.23,-0.7359,0.0
25,5,3664.0,34.13,0.00299
25,6,2955.0,-6.383,0.0
25,7,591.6,-3.08,0.0
25,8,1554.0,0.0,0.0
25,9,1375.0,2.499,0.00631
25,11,-788.6,1.693,0.0
25,12,18.79,0.0,0.0
25,13,381.1,-5.682,0.0168
25,14,3873.0,-9.315,0.0
25,15,-868.8,2.948,0.0
25,16,-94.87,-9.612,0.0372
